,y2_hhid,sourceid,ag12a_0b,ag12a_01,ag12a_02_1,ag12a_02_2,ag12a_02_3,ag12a_02_4,ag12a_02_5,ag12a_02_6,ag12a_03,ag12a_04,ag12a_05,ag12a_06
2486,0506011001017701,NGO,NGO,NO,,,,,,,,,,
2487,0506011001017701,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
2488,0506011001017701,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
2489,0506011001017701,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
2490,0506011001021501,GOVERNMENT EXTENSION,SERIKALI,NO,,,,,,,,,,
2491,0506011001021501,NGO,NGO,NO,,,,,,,,,,
2492,0506011001021501,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
2493,0506011001021501,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
2494,0506011001021501,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
2495,0506011001030001,GOVERNMENT EXTENSION,SERIKALI,NO,,,,,,,,,,
2496,0506011001030001,NGO,NGO,NO,,,,,,,,,,
2497,0506011001030001,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
2498,0506011001030001,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
2499,0506011001030001,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
2500,0601012001014801,GOVERNMENT EXTENSION,SERIKALI,NO,,,,,,,,,,
2501,0601012001014801,NGO,NGO,NO,,,,,,,,,,
2502,0601012001014801,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
2503,0601012001014801,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
2504,0601012001014801,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
2505,0601012001016101,GOVERNMENT EXTENSION,SERIKALI,NO,,,,,,,,,,
2506,0601012001016101,NGO,NGO,NO,,,,,,,,,,
2507,0601012001016101,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
2508,0601012001016101,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
2509,0601012001016101,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
2510,0601012001105201,GOVERNMENT EXTENSION,SERIKALI,NO,,,,,,,,,,
2511,0601012001105201,NGO,NGO,NO,,,,,,,,,,
2512,0601012001105201,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
2513,0601012001105201,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
2514,0601012001105201,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
2515,0601012001105206,GOVERNMENT EXTENSION,SERIKALI,NO,,,,,,,,,,
2516,0601012001105206,NGO,NGO,NO,,,,,,,,,,
2517,0601012001105206,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
2518,0601012001105206,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
2519,0601012001105206,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
2520,0601012001116701,GOVERNMENT EXTENSION,SERIKALI,NO,,,,,,,,,,
2521,0601012001116701,NGO,NGO,NO,,,,,,,,,,
2522,0601012001116701,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
2523,0601012001116701,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
2524,0601012001116701,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
2525,0601012001116702,GOVERNMENT EXTENSION,SERIKALI,NO,,,,,,,,,,
2526,0601012001116702,NGO,NGO,NO,,,,,,,,,,
2527,0601012001116702,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
2528,0601012001116702,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
2529,0601012001116702,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
2530,0601012001156801,GOVERNMENT EXTENSION,SERIKALI,YES,YES,NO,NO,NO,YES,YES,GOOD,NO,,1.0
2531,0601012001156801,NGO,NGO,NO,,,,,,,,,,
2532,0601012001156801,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
2533,0601012001156801,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
2534,0601012001156801,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
2535,0601012001172901,GOVERNMENT EXTENSION,SERIKALI,NO,,,,,,,,,,
2536,0601012001172901,NGO,NGO,NO,,,,,,,,,,
2537,0601012001172901,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
2538,0601012001172901,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
2539,0601012001172901,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
2540,0601012001172906,GOVERNMENT EXTENSION,SERIKALI,NO,,,,,,,,,,
2541,0601012001172906,NGO,NGO,NO,,,,,,,,,,
2542,0601012001172906,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
2543,0601012001172906,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
2544,0601012001172906,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
2545,0601012001172910,GOVERNMENT EXTENSION,SERIKALI,YES,YES,NO,NO,NO,NO,NO,GOOD,NO,,3.0
2546,0601012001172910,NGO,NGO,NO,,,,,,,,,,
2547,0601012001172910,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
2548,0601012001172910,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
2549,0601012001172910,OTHER,"NYINGINE, TAJA",YES,NO,NO,NO,NO,NO,YES,GOOD,NO,,2.0
2550,0601012001178201,GOVERNMENT EXTENSION,SERIKALI,NO,,,,,,,,,,
2551,0601012001178201,NGO,NGO,NO,,,,,,,,,,
2552,0601012001178201,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
2553,0601012001178201,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
2554,0601012001178201,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
2555,0601012001197601,GOVERNMENT EXTENSION,SERIKALI,NO,,,,,,,,,,
2556,0601012001197601,NGO,NGO,NO,,,,,,,,,,
2557,0601012001197601,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
2558,0601012001197601,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
2559,0601012001197601,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
2560,0602005001000301,GOVERNMENT EXTENSION,SERIKALI,NO,,,,,,,,,,
2561,0602005001000301,NGO,NGO,NO,,,,,,,,,,
2562,0602005001000301,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
2563,0602005001000301,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
2564,0602005001000301,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
2565,0602005001004001,GOVERNMENT EXTENSION,SERIKALI,NO,,,,,,,,,,
2566,0602005001004001,NGO,NGO,NO,,,,,,,,,,
2567,0602005001004001,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
2568,0602005001004001,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
2569,0602005001004001,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
2570,0602005001006501,GOVERNMENT EXTENSION,SERIKALI,NO,,,,,,,,,,
2571,0602005001006501,NGO,NGO,NO,,,,,,,,,,
2572,0602005001006501,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
2573,0602005001006501,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
2574,0602005001006501,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
2575,0602005001006505,GOVERNMENT EXTENSION,SERIKALI,NO,,,,,,,,,,
2576,0602005001006505,NGO,NGO,NO,,,,,,,,,,
2577,0602005001006505,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
2578,0602005001006505,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
2579,0602005001006505,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
2580,0602005001006701,GOVERNMENT EXTENSION,SERIKALI,NO,,,,,,,,,,
2581,0602005001006701,NGO,NGO,NO,,,,,,,,,,
2582,0602005001006701,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
2583,0602005001006701,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
2584,0602005001006701,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
2585,0602005001006705,GOVERNMENT EXTENSION,SERIKALI,NO,,,,,,,,,,
2586,0602005001006705,NGO,NGO,NO,,,,,,,,,,
2587,0602005001006705,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
2588,0602005001006705,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
2589,0602005001006705,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
2590,0602005001013201,GOVERNMENT EXTENSION,SERIKALI,NO,,,,,,,,,,
2591,0602005001013201,NGO,NGO,NO,,,,,,,,,,
2592,0602005001013201,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
2593,0602005001013201,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
2594,0602005001013201,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
2595,0602005001018801,GOVERNMENT EXTENSION,SERIKALI,NO,,,,,,,,,,
2596,0602005001018801,NGO,NGO,NO,,,,,,,,,,
2597,0602005001018801,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
2598,0602005001018801,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
2599,0602005001018801,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
2600,0602005001019701,GOVERNMENT EXTENSION,SERIKALI,NO,,,,,,,,,,
2601,0602005001019701,NGO,NGO,NO,,,,,,,,,,
2602,0602005001019701,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
2603,0602005001019701,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
2604,0602005001019701,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
2605,0602005001023201,GOVERNMENT EXTENSION,SERIKALI,NO,,,,,,,,,,
2606,0602005001023201,NGO,NGO,NO,,,,,,,,,,
2607,0602005001023201,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
2608,0602005001023201,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
2609,0602005001023201,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
2610,0603013001002901,GOVERNMENT EXTENSION,SERIKALI,NO,,,,,,,,,,
2611,0603013001002901,NGO,NGO,NO,,,,,,,,,,
2612,0603013001002901,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
2613,0603013001002901,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
2614,0603013001002901,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
2615,0603013001005601,GOVERNMENT EXTENSION,SERIKALI,NO,,,,,,,,,,
2616,0603013001005601,NGO,NGO,NO,,,,,,,,,,
2617,0603013001005601,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
2618,0603013001005601,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
2619,0603013001005601,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
2620,0603013001009001,GOVERNMENT EXTENSION,SERIKALI,NO,,,,,,,,,,
2621,0603013001009001,NGO,NGO,NO,,,,,,,,,,
2622,0603013001009001,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
2623,0603013001009001,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
2624,0603013001009001,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
2625,0603013001009701,GOVERNMENT EXTENSION,SERIKALI,NO,,,,,,,,,,
2626,0603013001009701,NGO,NGO,NO,,,,,,,,,,
2627,0603013001009701,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
2628,0603013001009701,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
2629,0603013001009701,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
2630,0603013001011601,GOVERNMENT EXTENSION,SERIKALI,YES,YES,NO,NO,NO,YES,YES,GOOD,NO,,2.0
2631,0603013001011601,NGO,NGO,NO,,,,,,,,,,
2632,0603013001011601,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
2633,0603013001011601,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
2634,0603013001011601,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
2635,0603013001025401,GOVERNMENT EXTENSION,SERIKALI,YES,YES,YES,YES,NO,YES,YES,AVERAGE,NO,,1.0
2636,0603013001025401,NGO,NGO,NO,,,,,,,,,,
2637,0603013001025401,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
2638,0603013001025401,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
2639,0603013001025401,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
2640,0603013001027501,GOVERNMENT EXTENSION,SERIKALI,NO,,,,,,,,,,
2641,0603013001027501,NGO,NGO,NO,,,,,,,,,,
2642,0603013001027501,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
2643,0603013001027501,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
2644,0603013001027501,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
2645,0603013001028201,GOVERNMENT EXTENSION,SERIKALI,YES,YES,NO,NO,NO,NO,YES,GOOD,NO,,1.0
2646,0603013001028201,NGO,NGO,NO,,,,,,,,,,
2647,0603013001028201,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
2648,0603013001028201,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
2649,0603013001028201,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
2650,0604010006002901,GOVERNMENT EXTENSION,GOVERNMENT EXTENSION,NO,,,,,,,,,,
2651,0604010006002901,NGO,NGO,NO,,,,,,,,,,
2652,0604010006002901,COOPERATIVE/FARMER'S ASSOCIATION,COOPERATIVE/FARMER'S ASSO,NO,,,,,,,,,,
2653,0604010006002901,LARGE SCALE FARMER,LARGE SCALE FARMER,NO,,,,,,,,,,
2654,0604010006002901,OTHER,OTHER,NO,,,,,,,,,,
2655,0604010006014101,GOVERNMENT EXTENSION,SERIKALI,NO,,,,,,,,,,
2656,0604010006014101,NGO,NGO,NO,,,,,,,,,,
2657,0604010006014101,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
2658,0604010006014101,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
2659,0604010006014101,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
2660,0604010006016001,GOVERNMENT EXTENSION,SERIKALI,NO,,,,,,,,,,
2661,0604010006016001,NGO,NGO,NO,,,,,,,,,,
2662,0604010006016001,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
2663,0604010006016001,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
2664,0604010006016001,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
2665,0604010006016003,GOVERNMENT EXTENSION,SERIKALI,NO,,,,,,,,,,
2666,0604010006016003,NGO,NGO,NO,,,,,,,,,,
2667,0604010006016003,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
2668,0604010006016003,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
2669,0604010006016003,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
2670,0604010006016009,GOVERNMENT EXTENSION,SERIKALI,NO,,,,,,,,,,
2671,0604010006016009,NGO,NGO,NO,,,,,,,,,,
2672,0604010006016009,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
2673,0604010006016009,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
2674,0604010006016009,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
2675,0604010006016012,GOVERNMENT EXTENSION,SERIKALI,NO,,,,,,,,,,
2676,0604010006016012,NGO,NGO,NO,,,,,,,,,,
2677,0604010006016012,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
2678,0604010006016012,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
2679,0604010006016012,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
2680,0604010006020501,GOVERNMENT EXTENSION,GOVERNMENT EXTENSION,NO,,,,,,,,,,
2681,0604010006020501,NGO,NGO,NO,,,,,,,,,,
2682,0604010006020501,COOPERATIVE/FARMER'S ASSOCIATION,COOPERATIVE/FARMER'S ASSO,NO,,,,,,,,,,
2683,0604010006020501,LARGE SCALE FARMER,LARGE SCALE FARMER,NO,,,,,,,,,,
2684,0604010006020501,OTHER,OTHER,NO,,,,,,,,,,
2685,0604010006032601,GOVERNMENT EXTENSION,GOVERNMENT EXTENSION,NO,,,,,,,,,,
2686,0604010006032601,NGO,NGO,NO,,,,,,,,,,
2687,0604010006032601,COOPERATIVE/FARMER'S ASSOCIATION,COOPERATIVE/FARMER'S ASSO,NO,,,,,,,,,,
2688,0604010006032601,LARGE SCALE FARMER,LARGE SCALE FARMER,NO,,,,,,,,,,
2689,0604010006032601,OTHER,OTHER,NO,,,,,,,,,,
2690,0604010006035201,GOVERNMENT EXTENSION,SERIKALI,NO,,,,,,,,,,
2691,0604010006035201,NGO,NGO,NO,,,,,,,,,,
2692,0604010006035201,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
2693,0604010006035201,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
2694,0604010006035201,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
2695,0604010006041301,GOVERNMENT EXTENSION,SERIKALI,NO,,,,,,,,,,
2696,0604010006041301,NGO,NGO,NO,,,,,,,,,,
2697,0604010006041301,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
2698,0604010006041301,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
2699,0604010006041301,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
2700,0605012004001401,GOVERNMENT EXTENSION,SERIKALI,NO,,,,,,,,,,
2701,0605012004001401,NGO,NGO,NO,,,,,,,,,,
2702,0605012004001401,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
2703,0605012004001401,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
2704,0605012004001401,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
2705,0605012004002101,GOVERNMENT EXTENSION,SERIKALI,NO,,,,,,,,,,
2706,0605012004002101,NGO,NGO,NO,,,,,,,,,,
2707,0605012004002101,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
2708,0605012004002101,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
2709,0605012004002101,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
2710,0605012004002601,GOVERNMENT EXTENSION,SERIKALI,NO,,,,,,,,,,
2711,0605012004002601,NGO,NGO,NO,,,,,,,,,,
2712,0605012004002601,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
2713,0605012004002601,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
2714,0605012004002601,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
2715,0605012004003101,GOVERNMENT EXTENSION,SERIKALI,NO,,,,,,,,,,
2716,0605012004003101,NGO,NGO,NO,,,,,,,,,,
2717,0605012004003101,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
2718,0605012004003101,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
2719,0605012004003101,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
2720,0605012004003301,GOVERNMENT EXTENSION,SERIKALI,NO,,,,,,,,,,
2721,0605012004003301,NGO,NGO,NO,,,,,,,,,,
2722,0605012004003301,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
2723,0605012004003301,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
2724,0605012004003301,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
2725,0605012004003901,GOVERNMENT EXTENSION,SERIKALI,NO,,,,,,,,,,
2726,0605012004003901,NGO,NGO,NO,,,,,,,,,,
2727,0605012004003901,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
2728,0605012004003901,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
2729,0605012004003901,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
2730,0605012004003902,GOVERNMENT EXTENSION,SERIKALI,NO,,,,,,,,,,
2731,0605012004003902,NGO,NGO,NO,,,,,,,,,,
2732,0605012004003902,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
2733,0605012004003902,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
2734,0605012004003902,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
2735,0605012004004101,GOVERNMENT EXTENSION,SERIKALI,NO,,,,,,,,,,
2736,0605012004004101,NGO,NGO,NO,,,,,,,,,,
2737,0605012004004101,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
2738,0605012004004101,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
2739,0605012004004101,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
2740,0605012004004401,GOVERNMENT EXTENSION,SERIKALI,NO,,,,,,,,,,
2741,0605012004004401,NGO,NGO,NO,,,,,,,,,,
2742,0605012004004401,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
2743,0605012004004401,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
2744,0605012004004401,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
2745,0605012302000901,GOVERNMENT EXTENSION,SERIKALI,NO,,,,,,,,,,
2746,0605012302000901,NGO,NGO,NO,,,,,,,,,,
2747,0605012302000901,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
2748,0605012302000901,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
2749,0605012302000901,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
2750,0605012302001001,GOVERNMENT EXTENSION,SERIKALI,NO,,,,,,,,,,
2751,0605012302001001,NGO,NGO,NO,,,,,,,,,,
2752,0605012302001001,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
2753,0605012302001001,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
2754,0605012302001001,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
2755,0605012302004601,GOVERNMENT EXTENSION,SERIKALI,NO,,,,,,,,,,
2756,0605012302004601,NGO,NGO,NO,,,,,,,,,,
2757,0605012302004601,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
2758,0605012302004601,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
2759,0605012302004601,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
2760,0605012302006801,GOVERNMENT EXTENSION,SERIKALI,NO,,,,,,,,,,
2761,0605012302006801,NGO,NGO,NO,,,,,,,,,,
2762,0605012302006801,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
2763,0605012302006801,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
2764,0605012302006801,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
2765,0606007003000201,GOVERNMENT EXTENSION,SERIKALI,NO,,,,,,,,,,
2766,0606007003000201,NGO,NGO,NO,,,,,,,,,,
2767,0606007003000201,COOPERATIVE/FARMER'S ASSOCIATION,USHIRIKA / CHAMA CHA WAKU,NO,,,,,,,,,,
2768,0606007003000201,LARGE SCALE FARMER,MKULIMA/MFUGAJI MKUBWA,NO,,,,,,,,,,
2769,0606007003000201,OTHER,"NYINGINE, TAJA",NO,,,,,,,,,,
